card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202202,41135109,삼평동,8784150,126,01,M,8784150,126,41135
51200,202202,41135110,백현동,10939810,79,01,M,10991010,84,41135
0,202203,41135101,분당동,1090850,43,01,M,1090850,43,41135
64100,202203,41135102,수내동,55489460,946,01,M,55553560,955,41135
136590,202203,41135103,정자동,88900925,1227,01,M,89037515,1238,41135
0,202203,41135104,율동,97000,1,01,M,97000,1,41135
390000,202203,41135105,서현동,43588680,870,01,M,43978680,873,41135
70940,202203,41135106,이매동,26184640,679,01,M,26255580,683,41135
17100,202203,41135107,야탑동,20735555,563,01,M,20752655,565,41135
70670,202203,41135108,판교동,5045560,102,01,M,5116230,105,41135
15000,202203,41135109,삼평동,11676330,199,01,M,11691330,200,41135
228540,202203,41135110,백현동,8199820,118,01,M,8428360,128,41135
0,202204,41135101,분당동,1601900,46,01,M,1601900,46,41135
124790,202204,41135102,수내동,52783750,1111,01,M,52908540,1123,41135
601430,202204,41135103,정자동,80712955,1382,01,M,81314385,1402,41135
35300,202204,41135104,율동,68900,3,01,M,104200,9,41135
104540,202204,41135105,서현동,48602243,1040,01,M,48706783,1049,41135
38600,202204,41135106,이매동,32418980,715,01,M,32457580,721,41135
22700,202204,41135107,야탑동,20775860,665,01,M,20798560,668,41135
257800,202204,41135108,판교동,3724080,176,01,M,3981880,181,41135
60000,202204,41135109,삼평동,10909880,273,01,M,10969880,275,41135
236450,202204,41135110,백현동,10273040,147,01,M,10509490,157,41135
0,202205,41135101,분당동,819950,37,01,M,819950,37,41135
110200,202205,41135102,수내동,44169550,926,01,M,44279750,934,41135
830100,202205,41135103,정자동,94177907,1223,01,M,95008007,1233,41135
56000,202205,41135104,율동,78400,5,01,M,134400,8,41135
501240,202205,41135105,서현동,35211620,808,01,M,35712860,820,41135
57120,202205,41135106,이매동,23175700,532,01,M,23232820,540,41135
80800,202205,41135107,야탑동,20858505,390,01,M,20939305,396,41135
420300,202205,41135108,판교동,1882530,75,01,M,2302830,80,41135
41000,202205,41135109,삼평동,10306420,200,01,M,10347420,203,41135
210050,202205,41135110,백현동,10149330,117,01,M,10359380,125,41135
0,202206,41135101,분당동,584000,35,01,M,584000,35,41135
647160,202206,41135102,수내동,41385100,813,01,M,42032260,872,41135
1202600,202206,41135103,정자동,69074745,1034,01,M,70277345,1049,41135
1000,202206,41135104,율동,0,0,01,M,1000,1,41135
493600,202206,41135105,서현동,34078010,675,01,M,34571610,677,41135
57400,202206,41135106,이매동,26062470,486,01,M,26119870,492,41135
56500,202206,41135107,야탑동,15521025,317,01,M,15577525,320,41135
0,202206,41135108,판교동,2639460,101,01,M,2639460,101,41135
0,202206,41135109,삼평동,7453180,219,01,M,7453180,219,41135
219600,202206,41135110,백현동,6468550,138,01,M,6688150,147,41135
0,202207,41135101,분당동,971350,45,01,M,971350,45,41135
163140,202207,41135102,수내동,45846430,773,01,M,46009570,791,41135
1685590,202207,41135103,정자동,79253550,1086,01,M,80939140,1102,41135
214800,202207,41135105,서현동,32749786,724,01,M,32964586,732,41135
172500,202207,41135106,이매동,23726670,426,01,M,23899170,438,41135
24000,202207,41135107,야탑동,18906434,298,01,M,18930434,300,41135
30300,202207,41135108,판교동,3081150,92,01,M,3111450,93,41135
0,202207,41135109,삼평동,8165040,185,01,M,8165040,185,41135
145600,202207,41135110,백현동,6113250,90,01,M,6258850,102,41135
77800,202207,41135111,금곡동,10440010,154,01,M,10517810,158,41135
0,202208,41135101,분당동,258200,15,01,M,258200,15,41135
27400,202208,41135102,수내동,10013890,373,01,M,10041290,377,41135
9700,202208,41135103,정자동,22727430,583,01,M,22737130,584,41135
19000,202208,41135104,율동,0,0,01,M,19000,4,41135
362400,202208,41135105,서현동,10078793,348,01,M,10441193,352,41135
37300,202208,41135106,이매동,6362410,203,01,M,6399710,206,41135
0,202208,41135107,야탑동,6156210,201,01,M,6156210,201,41135
0,202208,41135108,판교동,1184650,78,01,M,1184650,78,41135
0,202208,41135109,삼평동,2679610,114,01,M,2679610,114,41135
64200,202208,41135110,백현동,2140190,43,01,M,2204390,49,41135
0,202209,41135101,분당동,311650,14,01,M,311650,14,41135
30500,202209,41135102,수내동,18046300,448,01,M,18076800,453,41135
446850,202209,41135103,정자동,22531758,528,01,M,22978608,535,41135
0,202209,41135104,율동,136500,3,01,M,136500,3,41135
1000,202209,41135105,서현동,11692560,409,01,M,11693560,410,41135
401000,202209,41135106,이매동,7964835,248,01,M,8365835,256,41135
4000,202209,41135107,야탑동,7035280,202,01,M,7039280,203,41135
0,202209,41135108,판교동,1157720,72,01,M,1157720,72,41135
0,202209,41135109,삼평동,2564850,89,01,M,2564850,89,41135
0,202209,41135110,백현동,1315200,46,01,M,1315200,46,41135
0,202210,41135101,분당동,502970,51,01,M,502970,51,41135
72980,202210,41135102,수내동,12416760,660,01,M,12489740,668,41135
410430,202210,41135103,정자동,21438244,1007,01,M,21848674,1020,41135
0,202210,41135104,율동,165400,7,01,M,165400,7,41135
24000,202210,41135105,서현동,18293730,948,01,M,18317730,954,41135
75900,202210,41135106,이매동,6960462,456,01,M,7036362,462,41135
29900,202210,41135107,야탑동,9211910,477,01,M,9241810,478,41135
10500,202210,41135108,판교동,2268250,140,01,M,2278750,141,41135
0,202210,41135109,삼평동,3614030,143,01,M,3614030,143,41135
0,202210,41135110,백현동,1347390,85,01,M,1347390,85,41135
0,202211,41135101,분당동,247350,31,01,M,247350,31,41135
