card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202201,41131111,심곡동,2000,1,01,M,2000,1,41131
0,202201,41131112,고등동,1219650,15,01,M,1219650,15,41131
210000,202202,41131101,신흥동,7988720,112,01,M,8198720,116,41131
0,202202,41131102,태평동,5626900,68,01,M,5626900,68,41131
0,202202,41131103,수진동,3141640,39,01,M,3141640,39,41131
0,202202,41131104,단대동,2655780,13,01,M,2655780,13,41131
0,202202,41131105,산성동,28500,2,01,M,28500,2,41131
26100,202202,41131106,양지동,1521900,35,01,M,1548000,36,41131
0,202202,41131107,복정동,576940,5,01,M,576940,5,41131
0,202202,41131108,창곡동,29922550,351,01,M,29922550,351,41131
0,202202,41131112,고등동,1035700,12,01,M,1035700,12,41131
0,202202,41131115,시흥동,71300,2,01,M,71300,2,41131
104250,202203,41131101,신흥동,10522170,316,01,M,10626420,326,41131
40500,202203,41131102,태평동,8206810,223,01,M,8247310,226,41131
0,202203,41131103,수진동,3373690,104,01,M,3373690,104,41131
0,202203,41131104,단대동,1456500,29,01,M,1456500,29,41131
0,202203,41131105,산성동,149900,16,01,M,149900,16,41131
0,202203,41131106,양지동,1671100,65,01,M,1671100,65,41131
11100,202203,41131107,복정동,439000,9,01,M,450100,11,41131
0,202203,41131108,창곡동,30077530,361,01,M,30077530,361,41131
0,202203,41131110,오야동,14200,2,01,M,14200,2,41131
0,202203,41131111,심곡동,67000,10,01,M,67000,10,41131
47300,202204,41131101,신흥동,8979450,308,01,M,9026750,316,41131
77880,202204,41131102,태평동,6608540,223,01,M,6686420,233,41131
0,202204,41131103,수진동,4311211,127,01,M,4311211,127,41131
0,202204,41131104,단대동,2069200,45,01,M,2069200,45,41131
0,202204,41131105,산성동,427150,35,01,M,427150,35,41131
10000,202204,41131106,양지동,1650700,102,01,M,1660700,104,41131
8500,202204,41131107,복정동,417250,14,01,M,425750,16,41131
0,202204,41131108,창곡동,29914270,426,01,M,29914270,426,41131
